650	1
498	1
627	1
857	1
487	1
28	0
927	1
72	1
400	1
945	1
637	1
443	1
177	1
984	1
954	1
859	0
489	1
991	0
62	1
428	0
145	1
471	1
65	0
809	1
681	1
970	1
854	1
486	1
531	1
725	0
527	0
465	1
674	1
677	0
475	0
124	1
111	1
478	1
226	1
160	1
372	0
464	1
763	1
886	1
544	0
63	1
720	1
3	0
407	0
171	0
46	1
165	1
441	1
257	1
239	1
27	0
173	1
477	0
312	1
612	1
339	1
884	1
61	1
147	0
327	0
353	0
504	1
429	0
268	1
184	0
295	1
1	0
265	1
39	1
494	0
106	1
272	1
55	1
779	1
170	1
447	1
119	1
425	1
545	1
202	1
255	1
275	1
653	0
252	1
199	1
626	1
649	1
364	1
70	1
894	1
587	1
346	1
374	1
871	0
939	0
101	1
196	0
117	0
179	1
122	1
132	1
778	1
240	1
883	1
387	0
236	0
466	0
958	1
277	1
438	0
777	1
445	0
484	0
702	0
435	0
497	0
103	0
376	0
638	0
366	0
974	0
908	1
391	1
510	0
841	0
20	0
513	0
655	0
149	0
279	0
290	0
280	1
274	0
1543	0
1819	0
1260	0
1237	0
1320	0
1214	0
1212	0
1412	1
1485	0
1423	0
1518	0
1336	0
1805	0
1204	0
1784	0
1894	1
1342	1
1359	0
1332	1
1383	0
1519	0
1228	0
1238	0
1295	0
1870	0
1366	0
1216	0
1512	0
1594	1
1232	0
1828	0
1218	0
1401	0
1067	0
1201	1
1345	0
1339	0
1324	0
790	0
917	0
306	0
909	0
977	0
90	0
446	0
893	0
241	0
615	0
424	0
921	1
434	1
246	0
647	1
452	0
491	1
333	1
622	0
769	0
797	1
624	0
959	0
227	0
47	1
32	0
440	1
4	0
960	0
125	1
798	0
920	1
248	0
325	0
388	1
882	0
311	0
87	1
9	0
743	0
79	1
210	1
48	0
413	0
791	0
492	0
601	1
480	0
232	1
285	1
706	1
134	1
15	0
21	0
92	0
71	0
468	1
45	1
998	0
751	0
200	0
488	0
826	0
242	1
253	0
120	1
172	1
448	0
322	0
453	0
496	0
211	1
80	1
845	1
89	0
450	1
771	0
194	0
131	0
115	0
603	0
214	1
14	0
254	0
843	1
867	1
213	1
533	0
2	0
923	0
343	1
356	0
190	0
765	1
941	1
621	0
390	0
382	0
784	1
276	0
258	1
185	0
548	1
222	1
176	1
335	0
85	1
181	0
269	0
116	0
836	1
786	0
256	0
267	0
938	0
744	0
159	0
582	0
753	1
564	0
658	0
454	1
577	1
694	1
640	0
151	0
869	0
605	0
502	1
38	0
54	0
874	1
866	0
691	0
220	0
201	0
687	0
219	0
156	1
576	1
634	0
642	0
245	1
525	1
205	0
520	1
